deployment_id,description,original_environment,environment,created_at,completed_at,is_production_environment,status,repo_id,creator_id
<<<<<<< HEAD
deploy-1,deployed from the prod to prod 2023-01-20,prod,prod,2023-01-20T16:57:39,2023-03-03T20:01:52,True,success,repo-7,95
deploy-2,deployed from the QA to UAT 2022-08-24,QA,UAT,2022-08-24T02:53:36,2022-10-02T02:35:22,False,success,repo-20,1
deploy-3,deployed from the UAT to QA 2022-08-16,UAT,QA,2022-08-16T13:48:18,2022-11-01T05:24:11,False,failed,repo-26,91
deploy-4,deployed from the QA to UAT 2022-09-25,QA,UAT,2022-09-25T02:36:42,2022-12-14T02:51:41,False,success,repo-9,99
deploy-5,deployed from the UAT to build 2022-08-01,UAT,build,2022-08-01T16:13:51,2023-05-27T08:08:56,False,success,repo-29,28
deploy-6,deployed from the build to others 2022-10-01,build,others,2022-10-01T10:05:25,2023-01-17T15:07:53,False,success,repo-29,38
deploy-7,deployed from the QA to others 2023-03-23,QA,others,2023-03-23T22:45:45,2023-04-21T00:26:55,False,failed,repo-6,6
deploy-8,deployed from the QA to prod 2023-05-17,QA,prod,2023-05-17T11:29:31,2023-07-08T10:50:06,True,success,repo-17,74
deploy-9,deployed from the QA to build 2023-05-04,QA,build,2023-05-04T14:29:35,2023-05-25T12:29:53,False,failed,repo-1,45
deploy-10,deployed from the UAT to QA 2023-04-06,UAT,QA,2023-04-06T07:15:43,2023-07-18T14:56:16,False,success,repo-26,87
deploy-11,deployed from the QA to build 2022-09-27,QA,build,2022-09-27T14:21:40,2023-04-17T17:01:26,False,success,repo-26,28
deploy-12,deployed from the others to QA 2022-09-25,others,QA,2022-09-25T07:39:30,2023-03-24T01:36:37,False,failed,repo-23,15
deploy-13,deployed from the QA to others 2023-02-15,QA,others,2023-02-15T23:07:41,2023-06-30T22:51:42,False,success,repo-25,83
deploy-14,deployed from the prod to prod 2022-12-28,prod,prod,2022-12-28T18:38:18,2023-07-14T15:19:00,True,success,repo-21,59
deploy-15,deployed from the UAT to build 2023-04-09,UAT,build,2023-04-09T07:22:04,2023-04-12T17:41:24,False,failed,repo-21,77
deploy-16,deployed from the UAT to others 2023-05-25,UAT,others,2023-05-25T07:54:42,2023-05-26T15:14:27,False,failed,repo-15,71
deploy-17,deployed from the QA to others 2023-05-14,QA,others,2023-05-14T09:35:37,2023-07-02T02:20:10,False,failed,repo-28,5
deploy-18,deployed from the build to others 2023-07-14,build,others,2023-07-14T04:40:20,2023-07-19T06:33:04,False,failed,repo-8,31
deploy-19,deployed from the build to UAT 2022-11-07,build,UAT,2022-11-07T06:58:38,2023-04-19T18:15:52,False,failed,repo-8,64
