pull_request_id,description,state,created_at,merged_at,closed_at,creator_id,repository_id
<<<<<<< HEAD
pr-1,pull request_1,closed,2022-10-23T20:17:42,2022-12-20T03:32:21,2023-01-26T11:20:28,66,repo-13
pr-2,pull request_2,open,2023-01-28T20:10:54,2023-04-30T19:27:51,2023-06-25T02:33:49,58,repo-10
pr-3,pull request_3,closed,2022-07-21T18:12:30,2022-10-13T16:14:28,2023-02-11T16:52:47,80,repo-14
pr-4,pull request_4,open,2022-11-01T03:26:45,2023-06-01T07:45:48,2023-06-29T13:43:55,39,repo-30
pr-5,pull request_5,open,2023-01-16T12:35:26,2023-03-17T11:03:48,2023-07-09T17:34:22,51,repo-31
pr-6,pull request_6,open,2023-05-17T03:07:06,2023-06-17T22:31:27,2023-06-30T20:17:07,81,repo-29
pr-7,pull request_7,open,2023-02-01T12:36:30,2023-03-28T18:26:13,2023-04-06T16:52:51,38,repo-33
pr-8,pull request_8,closed,2022-11-13T06:32:15,2023-05-28T10:23:30,2023-06-16T03:19:06,63,repo-5
pr-9,pull request_9,open,2023-04-20T20:08:09,2023-06-19T17:53:00,2023-06-29T21:08:26,37,repo-13
pr-10,pull request_10,open,2022-09-12T13:34:10,2022-09-12T16:03:23,2022-12-13T00:33:31,11,repo-2
pr-11,pull request_11,closed,2022-10-22T08:45:51,2023-02-10T10:38:44,2023-05-11T20:19:29,87,repo-8
pr-12,pull request_12,closed,2022-10-25T20:43:37,2022-11-25T02:30:48,2022-12-12T13:04:59,93,repo-6
pr-13,pull request_13,closed,2023-01-04T02:10:06,2023-06-03T06:26:34,2023-06-26T02:42:59,44,repo-29
pr-14,pull request_14,open,2023-05-10T22:33:12,2023-06-11T07:36:38,2023-07-13T19:49:00,71,repo-1
pr-15,pull request_15,open,2022-11-18T22:22:00,2023-03-11T09:01:04,2023-04-02T20:36:00,7,repo-20
pr-16,pull request_16,open,2023-06-05T14:33:56,2023-07-03T05:45:45,2023-07-13T09:50:19,65,repo-29
pr-17,pull request_17,closed,2023-03-20T01:54:54,2023-07-04T23:19:00,2023-07-05T20:42:04,84,repo-29
pr-18,pull request_18,closed,2023-06-23T12:10:53,2023-07-02T10:57:56,2023-07-04T15:34:43,97,repo-11
pr-19,pull request_19,closed,2022-09-29T02:29:14,2023-02-16T16:31:24,2023-03-15T02:48:48,33,repo-24
pr-20,pull request_20,closed,2022-12-05T01:39:33,2023-01-04T06:17:14,2023-07-14T09:02:27,98,repo-12
pr-21,pull request_21,open,2022-11-02T14:56:32,2023-03-14T11:41:23,2023-03-17T22:53:46,62,repo-4
pr-22,pull request_22,open,2022-12-25T15:47:47,2023-02-26T02:17:46,2023-05-24T06:53:20,17,repo-24
pr-23,pull request_23,closed,2023-06-22T20:38:42,2023-06-23T22:33:05,2023-07-09T00:01:38,94,repo-15
